ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
4566,5,E09000003,2,77.51,302.42,25.84,330.01
5218,5,E09000003,3,83.97,414.92,25.84,452.05
5903,5,E09000003,4,101.48,755.54,25.84,824.52
3270,6,E09000003,0,70.47,847.34,18.64,925.97
4165,7,E09000003,1,58.13,235.58,25.84,256.8
4666,7,E09000003,2,63.67,302.42,25.84,330.01
5318,7,E09000003,3,71.06,414.92,25.84,452.05
5870,7,E09000003,4,83.05,755.54,25.84,824.52
3596,8,E09000003,0,60.1,847.34,18.64,925.97
6530,9,E09000003,1,65.51,294.49,25.84,320.99
6856,9,E09000003,2,77.51,378.03,25.84,412.53
7182,9,E09000003,3,83.97,518.65,25.84,565.05
7508,9,E09000003,4,101.48,944.43,25.84,1030.66
7834,10,E09000003,0,70.47,598.84,18.64,653.96
11,1,E08000016,1,50.76,91.27,25.84,113.53
337,1,E08000016,2,58.13,108.24,25.84,140.08
663,1,E08000016,3,62.75,119.9,25.84,161.3
989,1,E08000016,4,72.9,144.31,25.84,178.28
2619,2,E08000016,0,52.86,234.75,18.64,322.95
1315,3,E08000016,1,46.13,81.71,25.84,92.33
1641,3,E08000016,2,52.6,112.47,25.84,144.31
1967,3,E08000016,3,56.29,104,25.84,113.53
2293,3,E08000016,4,63.67,120.97,25.84,175.09
2945,4,E08000016,0,51.82,160.88,18.64,190.67
4390,5,E08000016,1,50.76,84.89,25.84,92.33
4870,5,E08000016,2,58.13,97.63,25.84,107.19
5501,5,E08000016,3,62.75,114.6,25.84,124.15
6106,5,E08000016,4,72.9,170.85,25.84,185.7
3271,6,E08000016,0,52.86,191.88,18.64,208.55
4544,7,E08000016,1,46.13,84.89,25.84,92.33
4812,7,E08000016,2,52.6,97.63,25.84,107.19
5848,7,E08000016,3,56.29,114.6,25.84,124.15
6204,7,E08000016,4,63.67,170.85,25.84,185.7
3597,8,E08000016,0,51.82,191.88,18.64,208.55
6531,9,E08000016,1,50.76,106.13,25.84,115.39
6857,9,E08000016,2,52.6,122.03,25.84,133.98
7183,9,E08000016,3,62.75,143.25,25.84,155.2
7509,9,E08000016,4,72.9,213.57,25.84,232.15
7835,10,E08000016,0,52.86,945.92,18.64,1030.84
13,1,E07000066,1,54.44,118.85,25.84,148.56
339,1,E07000066,2,64.59,142.18,25.84,167.67
665,1,E07000066,3,71.06,155.98,25.84,180.4
991,1,E07000066,4,81.2,170.85,25.84,178.28
2621,2,E07000066,0,36.26,226.42,18.64,423.05
1317,3,E07000066,1,49.84,99.75,25.84,131.58
1643,3,E07000066,2,58.13,117.78,25.84,132.64
1969,3,E07000066,3,63.67,130.52,25.84,143.25
2295,3,E07000066,4,71.06,148.56,25.84,159.17
2947,4,E07000066,0,55.97,135.86,18.64,318.19
4118,5,E07000066,1,54.44,142.18,25.84,154.93
4699,5,E07000066,2,64.59,180.4,25.84,197.39
5418,5,E07000066,3,71.06,219.66,25.84,239.83
6128,5,E07000066,4,81.2,359.73,25.84,392.62
3273,6,E07000066,0,36.26,403.99,18.64,440.94
4235,7,E07000066,1,49.84,142.18,25.84,154.93
4961,7,E07000066,2,58.13,180.4,25.84,197.39
5604,7,E07000066,3,63.67,219.66,25.84,239.83
6266,7,E07000066,4,71.06,359.73,25.84,392.62
3599,8,E07000066,0,55.97,403.99,18.64,440.94
6533,9,E07000066,1,54.44,177.73,25.84,193.64
6859,9,E07000066,2,64.59,225.52,25.84,246.73
7185,9,E07000066,3,71.06,274.57,25.84,299.78
7511,9,E07000066,4,81.2,449.67,25.84,490.79
7837,10,E07000066,0,36.26,269.62,18.64,294.95
14,1,E07000084,1,57.21,123.09,25.84,176.15
340,1,E07000084,2,71.06,146.43,25.84,186.77
666,1,E07000084,3,81.2,161.3,25.84,203.75
992,1,E07000084,4,89.52,178.28,25.84,221.77
2622,2,E07000084,0,62.17,268.13,18.64,344.4
1318,3,E07000084,1,51.68,115.66,25.84,159.17
1644,3,E07000084,2,62.75,129.46,25.84,145.37
1970,3,E07000084,3,68.28,149.62,25.84,185.7
2296,3,E07000084,4,72.9,184.64,25.84,194.19
2948,4,E07000084,0,48.71,195.45,18.64,204.96
3987,5,E07000084,1,57.21,147.5,25.84,160.24
4602,5,E07000084,2,71.06,181.46,25.84,198.45
5254,5,E07000084,3,81.2,209.06,25.84,228.14
5939,5,E07000084,4,89.52,337.44,25.84,368.22
3274,6,E07000084,0,62.17,378.95,18.64,413.53
4054,7,E07000084,1,51.68,147.5,25.84,160.24
4749,7,E07000084,2,62.75,181.46,25.84,198.45
5354,7,E07000084,3,68.28,209.06,25.84,228.14
6043,7,E07000084,4,72.9,337.44,25.84,368.22
3600,8,E07000084,0,48.71,378.95,18.64,413.53
